Customer_id,Recency,Frequency,Monetary,labels
RetailerID1,0,225,48371,3
RetailerID10,0,38,6812,2
RetailerID100,1,61,13151,0
RetailerID101,0,316,57799,3
RetailerID102,30,17,6138,4
RetailerID103,122,11,2876,4
RetailerID104,0,43,6948,0
RetailerID107,61,9,1817,4
RetailerID108,1,34,7710,2
RetailerID109,0,121,21125,0
RetailerID110,0,19,1155,2
RetailerID112,0,58,6757,0
RetailerID114,0,97,26793,0
RetailerID115,0,252,77002,3
RetailerID116,1,77,24428,0
RetailerID117,0,17,2804,2
RetailerID118,91,18,1723,4
RetailerID119,0,324,50754,3
RetailerID12,256,2,124,1
RetailerID120,30,8,2112,4
RetailerID122,1,115,24497,0
RetailerID123,0,317,67632,3
RetailerID125,62,3,198,1
RetailerID126,243,9,860,1
RetailerID127,0,237,42168,3
RetailerID128,92,12,2168,4
RetailerID129,0,32,4591,2
RetailerID13,0,1889,1202276,3
RetailerID130,92,15,5211,4
RetailerID131,0,51,14046,0
RetailerID132,1,45,16827,0
RetailerID133,0,351,3571682,3
RetailerID134,0,57,12932,0
RetailerID135,252,9,4231,4
RetailerID136,0,65,14168,0
RetailerID137,0,186,36374,0
RetailerID138,92,37,7442,4
RetailerID139,0,27,6151,2
RetailerID14,1,28,3704,2
RetailerID140,0,20,3007,2
RetailerID141,62,94,1860362,3
RetailerID142,0,8,1368,2
RetailerID144,213,5,315,1
RetailerID145,0,55,8535,0
RetailerID146,0,252,63298,3
RetailerID147,0,2,616,2
RetailerID148,0,51,6569,0
RetailerID149,0,113,24703,0
RetailerID15,153,32,5508,4
RetailerID150,61,37,10478,4
RetailerID151,154,16,3757,4
RetailerID152,61,5,607,1
RetailerID153,0,20,1366659,3
RetailerID154,264,2,337,1
RetailerID155,1,60,10958,0
RetailerID156,243,6,4688,4
RetailerID157,213,7,1758,4
RetailerID158,91,6,1267,1
RetailerID16,0,360,64572,3
RetailerID160,0,28,3729,2
RetailerID161,1,9,1541,2
RetailerID162,0,8,1032,2
RetailerID163,92,7,2041,4
RetailerID164,0,53,4865,0
RetailerID165,254,1,370,1
RetailerID167,1,9,2440,2
RetailerID168,256,1,190,1
RetailerID169,0,40,9334,0
RetailerID17,61,64,8444,4
RetailerID171,1,39,16631,0
RetailerID172,62,1,126,1
RetailerID173,1,27,2956,2
RetailerID174,213,13,4522,4
RetailerID175,0,42,3872,2
RetailerID176,213,2,275,1
RetailerID177,0,36,4948,2
RetailerID178,62,31,4835,4
RetailerID179,0,147,162217,3
RetailerID18,61,12,1100,4
RetailerID180,214,6,752,1
RetailerID181,0,36,6979,2
RetailerID182,122,2,444,1
RetailerID183,61,20,3051,4
RetailerID184,184,9,1077,4
RetailerID185,215,9,1554,4
RetailerID186,0,115,25020,0
RetailerID187,92,2,394,1
RetailerID188,0,40,10068,0
RetailerID189,215,6,2142,4
RetailerID19,61,82,19478,4
RetailerID190,61,7,1540,4
RetailerID192,0,21,8232,2
RetailerID193,0,17,1837,2
RetailerID194,0,99,17595,0
RetailerID195,91,30,8223,4
RetailerID196,91,34,10744,4
RetailerID197,214,3,658,1
RetailerID198,122,10,1478,4
RetailerID199,0,4,774,2
RetailerID2,0,85,12171,0
RetailerID20,0,385,66705,3
RetailerID200,0,62,10483,0
RetailerID201,243,5,762,1
RetailerID202,1,33,6218,2
RetailerID204,0,35,5544,2
